###
console output
2023-03-14 09:02:49
###
 
 reading from starter.ss
 reading from data file
Data read sucessful 999

 reading forecast file 
 reading from control file
End of control file successful! 999
Begin setting up parameters ...  read parm file
3 943 -log(L): 3154.22  Spbio: 99243.8 676816
3 944 -log(L): 3154.22  Spbio: 99243.8 676816
3 945 -log(L): 3154.22  Spbio: 99243.8 676816
3 946 -log(L): 3154.22  Spbio: 99243.8 676816
3 947 -log(L): 3154.22  Spbio: 99243.8 676816
3 948 -log(L): 3154.22  Spbio: 99243.8 676816
3 949 -log(L): 3154.22  Spbio: 99243.8 676816
3 950 -log(L): 3154.22  Spbio: 99243.8 676816
3 951 -log(L): 3154.22  Spbio: 99243.8 676816
3 952 -log(L): 3154.22  Spbio: 99243.8 676816
3 953 -log(L): 3154.22  Spbio: 99243.8 676816
3 954 -log(L): 3154.22  Spbio: 99243.8 676816
3 955 -log(L): 3154.22  Spbio: 99243.8 676816
3 956 -log(L): 3154.22  Spbio: 99243.8 676816
3 957 -log(L): 3154.22  Spbio: 99243.8 676816
3 958 -log(L): 3154.22  Spbio: 99243.8 676816
3 959 -log(L): 3154.22  Spbio: 99243.8 676816
3 960 -log(L): 3154.22  Spbio: 99243.8 676816
3 961 -log(L): 3154.22  Spbio: 99243.8 676816
3 962 -log(L): 3154.22  Spbio: 99243.8 676816
3 963 -log(L): 3154.22  Spbio: 99243.8 676816
3 964 -log(L): 3154.22  Spbio: 99243.8 676816
3 965 -log(L): 3154.22  Spbio: 99243.8 676816
3 966 -log(L): 3154.22  Spbio: 99243.8 676816
3 967 -log(L): 3154.22  Spbio: 99243.8 676816
3 968 -log(L): 3154.22  Spbio: 99243.8 676816
3 969 -log(L): 3154.22  Spbio: 99243.8 676816
3 970 -log(L): 3154.22  Spbio: 99243.8 676816
3 971 -log(L): 3154.22  Spbio: 99243.8 676816
3 972 -log(L): 3154.22  Spbio: 99243.8 676816
3 973 -log(L): 3154.22  Spbio: 99243.8 676816
3 974 -log(L): 3154.22  Spbio: 99243.8 676816
3 975 -log(L): 3154.22  Spbio: 99243.8 676816
3 976 -log(L): 3154.22  Spbio: 99243.8 676816
3 977 -log(L): 3154.22  Spbio: 99243.8 676816
3 978 -log(L): 3154.22  Spbio: 99243.8 676816
3 979 -log(L): 3154.22  Spbio: 99243.8 676816
3 980 -log(L): 3154.22  Spbio: 99243.8 676816
3 981 -log(L): 3154.22  Spbio: 99243.8 676816
3 982 -log(L): 3154.22  Spbio: 99243.8 676816
3 983 -log(L): 3154.22  Spbio: 99243.8 676816
3 984 -log(L): 3154.22  Spbio: 99243.8 676816
3 985 -log(L): 3154.22  Spbio: 99243.8 676816
3 986 -log(L): 3154.22  Spbio: 99243.8 676816
3 987 -log(L): 3154.22  Spbio: 99243.8 676816
3 988 -log(L): 3154.22  Spbio: 99243.8 676816
3 989 -log(L): 3154.22  Spbio: 99243.8 676816
3 990 -log(L): 3154.22  Spbio: 99243.8 676816
3 991 -log(L): 3154.22  Spbio: 99243.8 676816
3 992 -log(L): 3154.22  Spbio: 99243.8 676816
3 993 -log(L): 3154.22  Spbio: 99243.8 676816
3 994 -log(L): 3154.22  Spbio: 99243.8 676816
3 995 -log(L): 3154.22  Spbio: 99243.8 676816
3 996 -log(L): 3154.22  Spbio: 99243.8 676816
3 997 -log(L): 3154.22  Spbio: 99243.8 676816
3 998 -log(L): 3154.22  Spbio: 99243.8 676816
3 999 -log(L): 3154.22  Spbio: 99243.8 676816
3 1000 -log(L): 3154.22  Spbio: 99243.8 676816
3 1001 -log(L): 3154.22  Spbio: 99243.8 676816
3 1002 -log(L): 3154.22  Spbio: 99243.8 676816
3 1003 -log(L): 3154.22  Spbio: 99243.8 676816
3 1004 -log(L): 3154.22  Spbio: 99243.8 676816
3 1005 -log(L): 3154.22  Spbio: 99243.8 676816
3 1006 -log(L): 3154.22  Spbio: 99243.8 676816
3 1007 -log(L): 3154.22  Spbio: 99243.8 676816
3 1008 -log(L): 3154.22  Spbio: 99243.8 676816
3 1009 -log(L): 3154.22  Spbio: 99243.8 676816
3 1010 -log(L): 3154.22  Spbio: 99243.8 676816
3 1011 -log(L): 3154.22  Spbio: 99243.8 676816
3 1012 -log(L): 3154.22  Spbio: 99243.8 676816
3 1013 -log(L): 3154.22  Spbio: 99243.8 676816
3 1014 -log(L): 3154.22  Spbio: 99243.8 676816
, 80%3 1015 -log(L): 3154.22  Spbio: 99243.8 676816
3 1016 -log(L): 3154.22  Spbio: 99243.8 676816
3 1017 -log(L): 3154.22  Spbio: 99243.8 676816
3 1018 -log(L): 3154.22  Spbio: 99243.8 676816
3 1019 -log(L): 3154.22  Spbio: 99243.8 676816
3 1020 -log(L): 3154.22  Spbio: 99243.8 676816
3 1021 -log(L): 3154.22  Spbio: 99243.8 676816
3 1022 -log(L): 3154.22  Spbio: 99243.8 676816
3 1023 -log(L): 3154.22  Spbio: 99243.8 676816
3 1024 -log(L): 3154.22  Spbio: 99243.8 676816
3 1025 -log(L): 3154.22  Spbio: 99243.8 676816
3 1026 -log(L): 3154.22  Spbio: 99243.8 676816
3 1027 -log(L): 3154.22  Spbio: 99243.8 676816
3 1028 -log(L): 3154.22  Spbio: 99243.8 676816
3 1029 -log(L): 3154.22  Spbio: 99243.8 676816
3 1030 -log(L): 3154.22  Spbio: 99243.8 676816
3 1031 -log(L): 3154.22  Spbio: 99243.8 676816
3 1032 -log(L): 3154.22  Spbio: 99243.8 676816
3 1033 -log(L): 3154.22  Spbio: 99243.8 676816
3 1034 -log(L): 3154.22  Spbio: 99243.8 676816
3 1035 -log(L): 3154.22  Spbio: 99243.8 676816
3 1036 -log(L): 3154.22  Spbio: 99243.8 676816
3 1037 -log(L): 3154.22  Spbio: 99243.8 676816
3 1038 -log(L): 3154.22  Spbio: 99243.8 676816
3 1039 -log(L): 3154.22  Spbio: 99243.8 676816
3 1040 -log(L): 3154.22  Spbio: 99243.8 676816
3 1041 -log(L): 3154.22  Spbio: 99243.8 676816
3 1042 -log(L): 3154.22  Spbio: 99243.8 676816
3 1043 -log(L): 3154.22  Spbio: 99243.8 676816
3 1044 -log(L): 3154.22  Spbio: 99243.8 676816
3 1045 -log(L): 3154.22  Spbio: 99243.8 676816
3 1046 -log(L): 3154.22  Spbio: 99243.8 676816
3 1047 -log(L): 3154.22  Spbio: 99243.8 676816
3 1048 -log(L): 3154.22  Spbio: 99243.8 676816
3 1049 -log(L): 3154.22  Spbio: 99243.8 676816
3 1050 -log(L): 3154.22  Spbio: 99243.8 676816
3 1051 -log(L): 3154.22  Spbio: 99243.8 676816
3 1052 -log(L): 3154.22  Spbio: 99243.8 676816
3 1053 -log(L): 3154.22  Spbio: 99243.8 676816
3 1054 -log(L): 3154.22  Spbio: 99243.8 676816
3 1055 -log(L): 3154.22  Spbio: 99243.8 676816
3 1056 -log(L): 3154.22  Spbio: 99243.8 676816
3 1057 -log(L): 3154.22  Spbio: 99243.8 676816
3 1058 -log(L): 3154.22  Spbio: 99243.8 676816
3 1059 -log(L): 3154.22  Spbio: 99243.8 676816
3 1060 -log(L): 3154.22  Spbio: 99243.8 676816
3 1061 -log(L): 3154.22  Spbio: 99243.8 676816
3 1062 -log(L): 3154.22  Spbio: 99243.8 676816
3 1063 -log(L): 3154.22  Spbio: 99243.8 676816
3 1064 -log(L): 3154.22  Spbio: 99243.8 676816
3 1065 -log(L): 3154.22  Spbio: 99243.8 676816
3 1066 -log(L): 3154.22  Spbio: 99243.8 676816
3 1067 -log(L): 3154.22  Spbio: 99243.8 676816
3 1068 -log(L): 3154.22  Spbio: 99243.8 676816
3 1069 -log(L): 3154.22  Spbio: 99243.8 676816
3 1070 -log(L): 3154.22  Spbio: 99243.8 676816
3 1071 -log(L): 3154.22  Spbio: 99243.8 676816
3 1072 -log(L): 3154.22  Spbio: 99243.8 676816
3 1073 -log(L): 3154.22  Spbio: 99243.8 676816
3 1074 -log(L): 3154.22  Spbio: 99243.8 676816
3 1075 -log(L): 3154.22  Spbio: 99243.8 676816
3 1076 -log(L): 3154.22  Spbio: 99243.8 676816
3 1077 -log(L): 3154.22  Spbio: 99243.8 676816
3 1078 -log(L): 3154.22  Spbio: 99243.8 676816
3 1079 -log(L): 3154.22  Spbio: 99243.8 676816
3 1080 -log(L): 3154.22  Spbio: 99243.8 676816
3 1081 -log(L): 3154.22  Spbio: 99243.8 676816
3 1082 -log(L): 3154.22  Spbio: 99243.8 676816
3 1083 -log(L): 3154.22  Spbio: 99243.8 676816
3 1084 -log(L): 3154.22  Spbio: 99243.8 676816
3 1085 -log(L): 3154.22  Spbio: 99243.8 676816
3 1086 -log(L): 3154.22  Spbio: 99243.8 676816
3 1087 -log(L): 3154.22  Spbio: 99243.8 676816
3 1088 -log(L): 3154.22  Spbio: 99243.8 676816
3 1089 -log(L): 3154.22  Spbio: 99243.8 676816
3 1090 -log(L): 3154.22  Spbio: 99243.8 676816
3 1091 -log(L): 3154.22  Spbio: 99243.8 676816
3 1092 -log(L): 3154.22  Spbio: 99243.8 676816
3 1093 -log(L): 3154.22  Spbio: 99243.8 676816
3 1094 -log(L): 3154.22  Spbio: 99243.8 676816
3 1095 -log(L): 3154.22  Spbio: 99243.8 676816
3 1096 -log(L): 3154.22  Spbio: 99243.8 676816
3 1097 -log(L): 3154.22  Spbio: 99243.8 676816
3 1098 -log(L): 3154.22  Spbio: 99243.8 676816
3 1099 -log(L): 3154.22  Spbio: 99243.8 676816
3 1100 -log(L): 3154.22  Spbio: 99243.8 676816
3 1101 -log(L): 3154.22  Spbio: 99243.8 676816
3 1102 -log(L): 3154.22  Spbio: 99243.8 676816
3 1103 -log(L): 3154.22  Spbio: 99243.8 676816
3 1104 -log(L): 3154.22  Spbio: 99243.8 676816
3 1105 -log(L): 3154.22  Spbio: 99243.8 676816
3 1106 -log(L): 3154.22  Spbio: 99243.8 676816
3 1107 -log(L): 3154.22  Spbio: 99243.8 676816
3 1108 -log(L): 3154.22  Spbio: 99243.8 676816
3 1109 -log(L): 3154.22  Spbio: 99243.8 676816
3 1110 -log(L): 3154.22  Spbio: 99243.8 676816
3 1111 -log(L): 3154.22  Spbio: 99243.8 676816
3 1112 -log(L): 3154.22  Spbio: 99243.8 676816
3 1113 -log(L): 3154.22  Spbio: 99243.8 676816
3 1114 -log(L): 3154.22  Spbio: 99243.8 676816
3 1115 -log(L): 3154.22  Spbio: 99243.8 676816
3 1116 -log(L): 3154.22  Spbio: 99243.8 676816
3 1117 -log(L): 3154.22  Spbio: 99243.8 676816
3 1118 -log(L): 3154.22  Spbio: 99243.8 676816
3 1119 -log(L): 3154.22  Spbio: 99243.8 676816
3 1120 -log(L): 3154.22  Spbio: 99243.8 676816
3 1121 -log(L): 3154.22  Spbio: 99243.8 676816
3 1122 -log(L): 3154.22  Spbio: 99243.8 676816
3 1123 -log(L): 3154.22  Spbio: 99243.8 676816
3 1124 -log(L): 3154.22  Spbio: 99243.8 676816
3 1125 -log(L): 3154.22  Spbio: 99243.8 676816
3 1126 -log(L): 3154.22  Spbio: 99243.8 676816
3 1127 -log(L): 3154.22  Spbio: 99243.8 676816
3 1128 -log(L): 3154.22  Spbio: 99243.8 676816
3 1129 -log(L): 3154.22  Spbio: 99243.8 676816
3 1130 -log(L): 3154.22  Spbio: 99243.8 676816
3 1131 -log(L): 3154.22  Spbio: 99243.8 676816
3 1132 -log(L): 3154.22  Spbio: 99243.8 676816
3 1133 -log(L): 3154.22  Spbio: 99243.8 676816
3 1134 -log(L): 3154.22  Spbio: 99243.8 676816
3 1135 -log(L): 3154.22  Spbio: 99243.8 676816
3 1136 -log(L): 3154.22  Spbio: 99243.8 676816
3 1137 -log(L): 3154.22  Spbio: 99243.8 676816
3 1138 -log(L): 3154.22  Spbio: 99243.8 676816
3 1139 -log(L): 3154.22  Spbio: 99243.8 676816
3 1140 -log(L): 3154.22  Spbio: 99243.8 676816
3 1141 -log(L): 3154.22  Spbio: 99243.8 676816
3 1142 -log(L): 3154.22  Spbio: 99243.8 676816
3 1143 -log(L): 3154.22  Spbio: 99243.8 676816
3 1144 -log(L): 3154.22  Spbio: 99243.8 676816
3 1145 -log(L): 3154.22  Spbio: 99243.8 676816
3 1146 -log(L): 3154.22  Spbio: 99243.8 676816
3 1147 -log(L): 3154.22  Spbio: 99243.8 676816
3 1148 -log(L): 3154.22  Spbio: 99243.8 676816
3 1149 -log(L): 3154.22  Spbio: 99243.8 676816
3 1150 -log(L): 3154.22  Spbio: 99243.8 676816
3 1151 -log(L): 3154.22  Spbio: 99243.8 676816
3 1152 -log(L): 3154.22  Spbio: 99243.8 676816
3 1153 -log(L): 3154.22  Spbio: 99243.8 676816
3 1154 -log(L): 3154.22  Spbio: 99243.8 676816
3 1155 -log(L): 3154.22  Spbio: 99243.8 676816
3 1156 -log(L): 3154.22  Spbio: 99243.8 676816
3 1157 -log(L): 3154.22  Spbio: 99243.8 676816
3 1158 -log(L): 3154.22  Spbio: 99243.8 676816
3 1159 -log(L): 3154.22  Spbio: 99243.8 676816
3 1160 -log(L): 3154.22  Spbio: 99243.8 676816
3 1161 -log(L): 3154.22  Spbio: 99243.8 676816
3 1162 -log(L): 3154.22  Spbio: 99243.8 676816
3 1163 -log(L): 3154.22  Spbio: 99243.8 676816
3 1164 -log(L): 3154.22  Spbio: 99243.8 676816
3 1165 -log(L): 3154.22  Spbio: 99243.8 676816
3 1166 -log(L): 3154.22  Spbio: 99243.8 676816
3 1167 -log(L): 3154.22  Spbio: 99243.8 676816
3 1168 -log(L): 3154.22  Spbio: 99243.8 676816
3 1169 -log(L): 3154.22  Spbio: 99243.8 676816
3 1170 -log(L): 3154.22  Spbio: 99243.8 676816
3 1171 -log(L): 3154.22  Spbio: 99243.8 676816
3 1172 -log(L): 3154.22  Spbio: 99243.8 676816
3 1173 -log(L): 3154.22  Spbio: 99243.8 676816
3 1174 -log(L): 3154.22  Spbio: 99243.8 676816
3 1175 -log(L): 3154.22  Spbio: 99243.8 676816
3 1176 -log(L): 3154.22  Spbio: 99243.8 676816
3 1177 -log(L): 3154.22  Spbio: 99243.8 676816
3 1178 -log(L): 3154.22  Spbio: 99243.8 676816
3 1179 -log(L): 3154.22  Spbio: 99243.8 676816
3 1180 -log(L): 3154.22  Spbio: 99243.8 676816
3 1181 -log(L): 3154.22  Spbio: 99243.8 676816
3 1182 -log(L): 3154.22  Spbio: 99243.8 676816
3 1183 -log(L): 3154.22  Spbio: 99243.8 676816
3 1184 -log(L): 3154.22  Spbio: 99243.8 676816
3 1185 -log(L): 3154.22  Spbio: 99243.8 676816
3 1186 -log(L): 3154.22  Spbio: 99243.8 676816
3 1187 -log(L): 3154.22  Spbio: 99243.8 676816
3 1188 -log(L): 3154.22  Spbio: 99243.8 676816
3 1189 -log(L): 3154.22  Spbio: 99243.8 676816
3 1190 -log(L): 3154.22  Spbio: 99243.8 676816
3 1191 -log(L): 3154.22  Spbio: 99243.8 676816
3 1192 -log(L): 3154.22  Spbio: 99243.8 676816
3 1193 -log(L): 3154.22  Spbio: 99243.8 676816
3 1194 -log(L): 3154.22  Spbio: 99243.8 676816
3 1195 -log(L): 3154.22  Spbio: 99243.8 676816
3 1196 -log(L): 3154.22  Spbio: 99243.8 676816
3 1197 -log(L): 3154.22  Spbio: 99243.8 676816
3 1198 -log(L): 3154.22  Spbio: 99243.8 676816
3 1199 -log(L): 3154.22  Spbio: 99243.8 676816
3 1200 -log(L): 3154.22  Spbio: 99243.8 676816
3 1201 -log(L): 3154.22  Spbio: 99243.8 676816
3 1202 -log(L): 3154.22  Spbio: 99243.8 676816
3 1203 -log(L): 3154.22  Spbio: 99243.8 676816
3 1204 -log(L): 3154.22  Spbio: 99243.8 676816
3 1205 -log(L): 3154.22  Spbio: 99243.8 676816
3 1206 -log(L): 3154.22  Spbio: 99243.8 676816
3 1207 -log(L): 3154.22  Spbio: 99243.8 676816
3 1208 -log(L): 3154.22  Spbio: 99243.8 676816
3 1209 -log(L): 3154.22  Spbio: 99243.8 676816
3 1210 -log(L): 3154.22  Spbio: 99243.8 676816
3 1211 -log(L): 3154.22  Spbio: 99243.8 676816
3 1212 -log(L): 3154.22  Spbio: 99243.8 676816
3 1213 -log(L): 3154.22  Spbio: 99243.8 676816
3 1214 -log(L): 3154.22  Spbio: 99243.8 676816
3 1215 -log(L): 3154.22  Spbio: 99243.8 676816
3 1216 -log(L): 3154.22  Spbio: 99243.8 676816
3 1217 -log(L): 3154.22  Spbio: 99243.8 676816
3 1218 -log(L): 3154.22  Spbio: 99243.8 676816
3 1219 -log(L): 3154.22  Spbio: 99243.8 676816
3 1220 -log(L): 3154.22  Spbio: 99243.8 676816
3 1221 -log(L): 3154.22  Spbio: 99243.8 676816
3 1222 -log(L): 3154.22  Spbio: 99243.8 676816
3 1223 -log(L): 3154.22  Spbio: 99243.8 676816
3 1224 -log(L): 3154.22  Spbio: 99243.8 676816
3 1225 -log(L): 3154.22  Spbio: 99243.8 676816
3 1226 -log(L): 3154.22  Spbio: 99243.8 676816
3 1227 -log(L): 3154.22  Spbio: 99243.8 676816
3 1228 -log(L): 3154.22  Spbio: 99243.8 676816
3 1229 -log(L): 3154.22  Spbio: 99243.8 676816
3 1230 -log(L): 3154.22  Spbio: 99243.8 676816
3 1231 -log(L): 3154.22  Spbio: 99243.8 676816
3 1232 -log(L): 3154.22  Spbio: 99243.8 676816
3 1233 -log(L): 3154.22  Spbio: 99243.8 676816
3 1234 -log(L): 3154.22  Spbio: 99243.8 676816
3 1235 -log(L): 3154.22  Spbio: 99243.8 676816
3 1236 -log(L): 3154.22  Spbio: 99243.8 676816
3 1237 -log(L): 3154.22  Spbio: 99243.8 676816
3 1238 -log(L): 3154.22  Spbio: 99243.8 676816
3 1239 -log(L): 3154.22  Spbio: 99243.8 676816
3 1240 -log(L): 3154.22  Spbio: 99243.8 676816
3 1241 -log(L): 3154.22  Spbio: 99243.8 676816
3 1242 -log(L): 3154.22  Spbio: 99243.8 676816
3 1243 -log(L): 3154.22  Spbio: 99243.8 676816
3 1244 -log(L): 3154.22  Spbio: 99243.8 676816
3 1245 -log(L): 3154.22  Spbio: 99243.8 676816
3 1246 -log(L): 3154.22  Spbio: 99243.8 676816
3 1247 -log(L): 3154.22  Spbio: 99243.8 676816
3 1248 -log(L): 3154.22  Spbio: 99243.8 676816
3 1249 -log(L): 3154.22  Spbio: 99243.8 676816
3 1250 -log(L): 3154.22  Spbio: 99243.8 676816
3 1251 -log(L): 3154.22  Spbio: 99243.8 676816
3 1252 -log(L): 3154.22  Spbio: 99243.8 676816
3 1253 -log(L): 3154.22  Spbio: 99243.8 676816
3 1254 -log(L): 3154.22  Spbio: 99243.8 676816
3 1255 -log(L): 3154.22  Spbio: 99243.8 676816
3 1256 -log(L): 3154.22  Spbio: 99243.8 676816
3 1257 -log(L): 3154.22  Spbio: 99243.8 676816
3 1258 -log(L): 3154.22  Spbio: 99243.8 676816
, 100%3 1259 -log(L): 3154.22  Spbio: 99243.8 676816
3 1260 -log(L): 3154.22  Spbio: 99243.8 676816
3 1261 -log(L): 3154.22  Spbio: 99243.8 676816
3 1262 -log(L): 3154.22  Spbio: 99243.8 676816
 done (3 m 6.7 s) 
Differentiating 8 derived quantities: 3 1263 -log(L): 3154.22  Spbio: 99243.8 676816
1, 2, 3, 4, 5, 6, 7, 8 done (2 m 7.1 s) 
Inverting Hessian (306 variables): 20%, 40%, 60%, 80%, 100% done (0.43 s) 
Starting standard error calculations...  done (2.3 s) 
Iterations: 1263
Finished forecast
Writing wtatage.ss_new
Finished posteriors
 finished appending to cumreport.sso 
Finished final writing of report.sso
Begin writing *.ss_new output files ... Finished writing *.ss_new output files

!!  Run has completed  !! 
!!  See warning.sso for 3 warnings 

Finished running model 'ss' after 5 m 25 s.
